"Step","DanielSc4/falcon-7b-instruct-FT-LoRA-8bit-test12023-06-27_18:09:48.554741 - train/loss","DanielSc4/falcon-7b-instruct-FT-LoRA-8bit-test12023-06-27_18:09:48.554741 - train/loss__MIN","DanielSc4/falcon-7b-instruct-FT-LoRA-8bit-test12023-06-27_18:09:48.554741 - train/loss__MAX","DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test12023-06-26_00:25:41.206933 - train/loss","DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test12023-06-26_00:25:41.206933 - train/loss__MIN","DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test12023-06-26_00:25:41.206933 - train/loss__MAX"
"95","","","","1.1979","1.1979","1.1979"
"96","","","","1.1248","1.1248","1.1248"
"97","","","","1.1078","1.1078","1.1078"
"98","","","","1.0413","1.0413","1.0413"
"99","","","","1.125","1.125","1.125"
"100","","","","0.9811","0.9811","0.9811"
"101","","","","0.9701","0.9701","0.9701"
"102","","","","1.0201","1.0201","1.0201"
"103","","","","0.9928","0.9928","0.9928"
"105","","","","1.0349","1.0349","1.0349"
"106","","","","0.9799","0.9799","0.9799"
"107","","","","1.0228","1.0228","1.0228"
"108","","","","1.0243","1.0243","1.0243"
"109","","","","1.0526","1.0526","1.0526"
"110","","","","0.9606","0.9606","0.9606"
"111","","","","0.9496","0.9496","0.9496"
"112","","","","0.9928","0.9928","0.9928"
"113","","","","0.9895","0.9895","0.9895"
"114","","","","1.0013","1.0013","1.0013"
"115","","","","1.0171","1.0171","1.0171"
"116","","","","0.981","0.981","0.981"
"117","","","","0.912","0.912","0.912"
"118","","","","0.975","0.975","0.975"
"119","","","","0.9825","0.9825","0.9825"
"120","","","","1.0045","1.0045","1.0045"
"121","","","","0.9314","0.9314","0.9314"
"122","","","","0.9659","0.9659","0.9659"
"123","","","","0.9624","0.9624","0.9624"
"124","","","","0.8911","0.8911","0.8911"
"126","","","","0.9601","0.9601","0.9601"
"127","","","","0.9063","0.9063","0.9063"
"128","","","","0.9251","0.9251","0.9251"
"129","","","","0.9144","0.9144","0.9144"
"130","","","","0.9544","0.9544","0.9544"
"131","","","","0.9603","0.9603","0.9603"
"132","","","","0.9419","0.9419","0.9419"
"133","","","","0.9118","0.9118","0.9118"
"134","","","","0.9104","0.9104","0.9104"
"135","","","","0.9309","0.9309","0.9309"
"136","","","","0.8971","0.8971","0.8971"
"137","","","","0.9195","0.9195","0.9195"
"138","","","","0.8855","0.8855","0.8855"
"139","","","","0.8756","0.8756","0.8756"
"140","","","","0.9226","0.9226","0.9226"
"141","","","","0.9252","0.9252","0.9252"
"142","","","","0.8587","0.8587","0.8587"
"143","","","","0.8922","0.8922","0.8922"
"144","","","","0.853","0.853","0.853"
"145","","","","0.9386","0.9386","0.9386"
"147","","","","0.7563","0.7563","0.7563"
"148","","","","0.7264","0.7264","0.7264"
"149","","","","0.7846","0.7846","0.7846"
"150","","","","0.7771","0.7771","0.7771"
"151","","","","0.7548","0.7548","0.7548"
"152","","","","0.6814","0.6814","0.6814"
"153","","","","0.7453","0.7453","0.7453"
"154","","","","0.7588","0.7588","0.7588"
"155","","","","0.735","0.735","0.735"
"156","","","","0.736","0.736","0.736"
"157","","","","0.7672","0.7672","0.7672"
"158","","","","0.6859","0.6859","0.6859"
"159","","","","0.7285","0.7285","0.7285"
"160","","","","0.7066","0.7066","0.7066"
"161","","","","0.713","0.713","0.713"
"162","","","","0.714","0.714","0.714"
"163","","","","0.696","0.696","0.696"
"164","","","","0.7151","0.7151","0.7151"
