"Step","falcon RL 7b 2nd run - env/reward_mean","falcon RL 7b 2nd run - env/reward_mean__MIN","falcon RL 7b 2nd run - env/reward_mean__MAX","red RL 3b 1st run - env/reward_mean","red RL 3b 1st run - env/reward_mean__MIN","red RL 3b 1st run - env/reward_mean__MAX"
"0","0.8904684782028198","0.8904684782028198","0.8904684782028198","0.8518025279045105","0.8518025279045105","0.8518025279045105"
"1","0.8656829595565796","0.8656829595565796","0.8656829595565796","0.8938400149345398","0.8938400149345398","0.8938400149345398"
"2","0.8599194288253784","0.8599194288253784","0.8599194288253784","0.8309981822967529","0.8309981822967529","0.8309981822967529"
"3","0.8909720182418823","0.8909720182418823","0.8909720182418823","0.8732655048370361","0.8732655048370361","0.8732655048370361"
"4","0.8662643432617188","0.8662643432617188","0.8662643432617188","0.8050635457038879","0.8050635457038879","0.8050635457038879"
"5","0.9109132289886475","0.9109132289886475","0.9109132289886475","0.8791383504867554","0.8791383504867554","0.8791383504867554"
"6","0.9116348028182983","0.9116348028182983","0.9116348028182983","0.8681166172027588","0.8681166172027588","0.8681166172027588"
"7","0.8911826610565186","0.8911826610565186","0.8911826610565186","0.8705067038536072","0.8705067038536072","0.8705067038536072"
"8","0.8318482637405396","0.8318482637405396","0.8318482637405396","0.899742841720581","0.899742841720581","0.899742841720581"
"9","0.8116208910942078","0.8116208910942078","0.8116208910942078","0.8532177209854126","0.8532177209854126","0.8532177209854126"
"10","0.8532297611236572","0.8532297611236572","0.8532297611236572","0.8179880380630493","0.8179880380630493","0.8179880380630493"
"11","0.8107560276985168","0.8107560276985168","0.8107560276985168","0.8869107961654663","0.8869107961654663","0.8869107961654663"
"12","0.8238632678985596","0.8238632678985596","0.8238632678985596","0.7752318978309631","0.7752318978309631","0.7752318978309631"
"13","0.801144003868103","0.801144003868103","0.801144003868103","0.8633291125297546","0.8633291125297546","0.8633291125297546"
"14","0.8220587372779846","0.8220587372779846","0.8220587372779846","0.8103078603744507","0.8103078603744507","0.8103078603744507"
"15","0.8582387566566467","0.8582387566566467","0.8582387566566467","0.8807587623596191","0.8807587623596191","0.8807587623596191"
"16","0.8316779136657715","0.8316779136657715","0.8316779136657715","0.8204734921455383","0.8204734921455383","0.8204734921455383"
"17","0.8169922828674316","0.8169922828674316","0.8169922828674316","0.8533894419670105","0.8533894419670105","0.8533894419670105"
"18","0.8437141180038452","0.8437141180038452","0.8437141180038452","0.8435534834861755","0.8435534834861755","0.8435534834861755"
"19","0.8124508857727051","0.8124508857727051","0.8124508857727051","0.9046997427940369","0.9046997427940369","0.9046997427940369"
"20","0.8298566341400146","0.8298566341400146","0.8298566341400146","0.813356339931488","0.813356339931488","0.813356339931488"
"21","0.7707725763320923","0.7707725763320923","0.7707725763320923","0.8831524848937988","0.8831524848937988","0.8831524848937988"
"22","0.7995009422302246","0.7995009422302246","0.7995009422302246","0.8837532997131348","0.8837532997131348","0.8837532997131348"
"23","0.8208050727844238","0.8208050727844238","0.8208050727844238","0.9051022529602051","0.9051022529602051","0.9051022529602051"
"24","0.8242285251617432","0.8242285251617432","0.8242285251617432","0.8727929592132568","0.8727929592132568","0.8727929592132568"
"25","0.8970694541931152","0.8970694541931152","0.8970694541931152","0.882324755191803","0.882324755191803","0.882324755191803"
"26","0.768290102481842","0.768290102481842","0.768290102481842","0.9221400618553162","0.9221400618553162","0.9221400618553162"
"27","0.7931737303733826","0.7931737303733826","0.7931737303733826","0.8967356085777283","0.8967356085777283","0.8967356085777283"
"28","0.7824259400367737","0.7824259400367737","0.7824259400367737","0.9180716872215271","0.9180716872215271","0.9180716872215271"
"29","0.8300027847290039","0.8300027847290039","0.8300027847290039","0.8488122820854187","0.8488122820854187","0.8488122820854187"
"30","0.810698390007019","0.810698390007019","0.810698390007019","0.8539177179336548","0.8539177179336548","0.8539177179336548"
"31","0.8299440741539001","0.8299440741539001","0.8299440741539001","0.8390036225318909","0.8390036225318909","0.8390036225318909"
"32","0.8622542023658752","0.8622542023658752","0.8622542023658752","0.9077695608139038","0.9077695608139038","0.9077695608139038"
"33","0.8159386515617371","0.8159386515617371","0.8159386515617371","0.9275912046432495","0.9275912046432495","0.9275912046432495"
"34","0.8341203927993774","0.8341203927993774","0.8341203927993774","0.9167065620422363","0.9167065620422363","0.9167065620422363"
"35","0.8089426755905151","0.8089426755905151","0.8089426755905151","0.9055119156837463","0.9055119156837463","0.9055119156837463"
"36","0.7875763177871704","0.7875763177871704","0.7875763177871704","0.885593056678772","0.885593056678772","0.885593056678772"
"37","0.7779439687728882","0.7779439687728882","0.7779439687728882","0.8944061398506165","0.8944061398506165","0.8944061398506165"
"38","0.7252697348594666","0.7252697348594666","0.7252697348594666","0.9122699499130249","0.9122699499130249","0.9122699499130249"
"39","0.8258892297744751","0.8258892297744751","0.8258892297744751","0.9263366460800171","0.9263366460800171","0.9263366460800171"
"40","0.7820367813110352","0.7820367813110352","0.7820367813110352","0.9262479543685913","0.9262479543685913","0.9262479543685913"
"41","0.7992547750473022","0.7992547750473022","0.7992547750473022","0.8377928137779236","0.8377928137779236","0.8377928137779236"
"42","0.7665219306945801","0.7665219306945801","0.7665219306945801","0.8846863508224487","0.8846863508224487","0.8846863508224487"
"43","0.7889273166656494","0.7889273166656494","0.7889273166656494","0.8972213268280029","0.8972213268280029","0.8972213268280029"
