"Step","falcon RL 7b 2nd run - ppo/loss/value","falcon RL 7b 2nd run - ppo/loss/value__MIN","falcon RL 7b 2nd run - ppo/loss/value__MAX","red RL 3b 1st run - ppo/loss/value","red RL 3b 1st run - ppo/loss/value__MIN","red RL 3b 1st run - ppo/loss/value__MAX"
"0","1.3393385410308838","1.3393385410308838","1.3393385410308838","1.0136905908584595","1.0136905908584595","1.0136905908584595"
"1","1.0850794315338135","1.0850794315338135","1.0850794315338135","0.9545254707336426","0.9545254707336426","0.9545254707336426"
"2","1.0274467468261719","1.0274467468261719","1.0274467468261719","0.9845689535140991","0.9845689535140991","0.9845689535140991"
"3","0.938727080821991","0.938727080821991","0.938727080821991","0.8875711560249329","0.8875711560249329","0.8875711560249329"
"4","0.8852607011795044","0.8852607011795044","0.8852607011795044","0.8383909463882446","0.8383909463882446","0.8383909463882446"
"5","0.8423805236816406","0.8423805236816406","0.8423805236816406","0.8804033994674683","0.8804033994674683","0.8804033994674683"
"6","0.8211948275566101","0.8211948275566101","0.8211948275566101","0.8407958745956421","0.8407958745956421","0.8407958745956421"
"7","0.7628174424171448","0.7628174424171448","0.7628174424171448","0.79949551820755","0.79949551820755","0.79949551820755"
"8","0.6869645118713379","0.6869645118713379","0.6869645118713379","0.7580766677856445","0.7580766677856445","0.7580766677856445"
"9","0.6413735151290894","0.6413735151290894","0.6413735151290894","0.7742246389389038","0.7742246389389038","0.7742246389389038"
"10","0.6595517992973328","0.6595517992973328","0.6595517992973328","0.702254056930542","0.702254056930542","0.702254056930542"
"11","0.5604410171508789","0.5604410171508789","0.5604410171508789","0.6956887245178223","0.6956887245178223","0.6956887245178223"
"12","0.5422217845916748","0.5422217845916748","0.5422217845916748","0.7084718942642212","0.7084718942642212","0.7084718942642212"
"13","0.5267496109008789","0.5267496109008789","0.5267496109008789","0.690510094165802","0.690510094165802","0.690510094165802"
"14","0.5416611433029175","0.5416611433029175","0.5416611433029175","0.6970635056495667","0.6970635056495667","0.6970635056495667"
"15","0.5405285954475403","0.5405285954475403","0.5405285954475403","0.686254620552063","0.686254620552063","0.686254620552063"
"16","0.5129464864730835","0.5129464864730835","0.5129464864730835","0.6634204387664795","0.6634204387664795","0.6634204387664795"
"17","0.4696493148803711","0.4696493148803711","0.4696493148803711","0.6670970916748047","0.6670970916748047","0.6670970916748047"
"18","0.4618544280529022","0.4618544280529022","0.4618544280529022","0.7110384106636047","0.7110384106636047","0.7110384106636047"
"19","0.4717045724391937","0.4717045724391937","0.4717045724391937","0.6835253238677979","0.6835253238677979","0.6835253238677979"
"20","0.4776075780391693","0.4776075780391693","0.4776075780391693","0.669187068939209","0.669187068939209","0.669187068939209"
"21","0.4549280107021332","0.4549280107021332","0.4549280107021332","0.7055528163909912","0.7055528163909912","0.7055528163909912"
"22","0.5108339190483093","0.5108339190483093","0.5108339190483093","0.6989477276802063","0.6989477276802063","0.6989477276802063"
"23","0.4477943778038025","0.4477943778038025","0.4477943778038025","0.7318522930145264","0.7318522930145264","0.7318522930145264"
"24","0.46312475204467773","0.46312475204467773","0.46312475204467773","0.6639748811721802","0.6639748811721802","0.6639748811721802"
"25","0.40010717511177063","0.40010717511177063","0.40010717511177063","0.6693043112754822","0.6693043112754822","0.6693043112754822"
"26","0.4640865623950958","0.4640865623950958","0.4640865623950958","0.6176466345787048","0.6176466345787048","0.6176466345787048"
"27","0.4339587688446045","0.4339587688446045","0.4339587688446045","0.7623769044876099","0.7623769044876099","0.7623769044876099"
"28","0.47088220715522766","0.47088220715522766","0.47088220715522766","0.6772499084472656","0.6772499084472656","0.6772499084472656"
"29","0.4293787479400635","0.4293787479400635","0.4293787479400635","0.6601946949958801","0.6601946949958801","0.6601946949958801"
"30","0.3863682746887207","0.3863682746887207","0.3863682746887207","0.6639624834060669","0.6639624834060669","0.6639624834060669"
"31","0.41714709997177124","0.41714709997177124","0.41714709997177124","0.6865359544754028","0.6865359544754028","0.6865359544754028"
"32","0.4506659507751465","0.4506659507751465","0.4506659507751465","0.7025958299636841","0.7025958299636841","0.7025958299636841"
"33","0.45619580149650574","0.45619580149650574","0.45619580149650574","0.685175895690918","0.685175895690918","0.685175895690918"
"34","0.5480546951293945","0.5480546951293945","0.5480546951293945","0.6806902885437012","0.6806902885437012","0.6806902885437012"
"35","0.442861944437027","0.442861944437027","0.442861944437027","0.6650907397270203","0.6650907397270203","0.6650907397270203"
"36","0.4437817633152008","0.4437817633152008","0.4437817633152008","0.5872369408607483","0.5872369408607483","0.5872369408607483"
"37","0.38169145584106445","0.38169145584106445","0.38169145584106445","0.6179372072219849","0.6179372072219849","0.6179372072219849"
"38","0.38800686597824097","0.38800686597824097","0.38800686597824097","0.6099466681480408","0.6099466681480408","0.6099466681480408"
"39","0.39473581314086914","0.39473581314086914","0.39473581314086914","0.622320830821991","0.622320830821991","0.622320830821991"
"40","0.45514973998069763","0.45514973998069763","0.45514973998069763","0.6297495365142822","0.6297495365142822","0.6297495365142822"
"41","0.3529505133628845","0.3529505133628845","0.3529505133628845","0.634140133857727","0.634140133857727","0.634140133857727"
"42","0.35163193941116333","0.35163193941116333","0.35163193941116333","0.5628228187561035","0.5628228187561035","0.5628228187561035"
"43","0.3573785424232483","0.3573785424232483","0.3573785424232483","0.5763106346130371","0.5763106346130371","0.5763106346130371"
"44","0.35907500982284546","0.35907500982284546","0.35907500982284546","0.5364753007888794","0.5364753007888794","0.5364753007888794"
"45","0.3422258496284485","0.3422258496284485","0.3422258496284485","0.5517780780792236","0.5517780780792236","0.5517780780792236"
"46","0.2982369363307953","0.2982369363307953","0.2982369363307953","0.583449125289917","0.583449125289917","0.583449125289917"
"47","0.3114471435546875","0.3114471435546875","0.3114471435546875","0.5448600053787231","0.5448600053787231","0.5448600053787231"
"48","0.30358463525772095","0.30358463525772095","0.30358463525772095","0.5669859647750854","0.5669859647750854","0.5669859647750854"
"49","0.36845511198043823","0.36845511198043823","0.36845511198043823","0.5802439451217651","0.5802439451217651","0.5802439451217651"
"50","0.28195643424987793","0.28195643424987793","0.28195643424987793","0.5410963296890259","0.5410963296890259","0.5410963296890259"
"51","0.2734958529472351","0.2734958529472351","0.2734958529472351","0.5201050639152527","0.5201050639152527","0.5201050639152527"
"52","0.28769180178642273","0.28769180178642273","0.28769180178642273","0.5240631103515625","0.5240631103515625","0.5240631103515625"
"53","0.27287665009498596","0.27287665009498596","0.27287665009498596","0.5280731320381165","0.5280731320381165","0.5280731320381165"
"54","0.26498568058013916","0.26498568058013916","0.26498568058013916","0.5228945016860962","0.5228945016860962","0.5228945016860962"
"55","0.24576649069786072","0.24576649069786072","0.24576649069786072","0.5313898324966431","0.5313898324966431","0.5313898324966431"
"56","0.2592916488647461","0.2592916488647461","0.2592916488647461","0.5286388397216797","0.5286388397216797","0.5286388397216797"
"57","0.22879868745803833","0.22879868745803833","0.22879868745803833","0.4882747530937195","0.4882747530937195","0.4882747530937195"
"58","0.2593771815299988","0.2593771815299988","0.2593771815299988","0.45312124490737915","0.45312124490737915","0.45312124490737915"
