"Step","falcon RL 7b 2nd run - env/reward_std","falcon RL 7b 2nd run - env/reward_std__MIN","falcon RL 7b 2nd run - env/reward_std__MAX","red RL 3b 1st run - env/reward_std","red RL 3b 1st run - env/reward_std__MIN","red RL 3b 1st run - env/reward_std__MAX"
"0","0.27563539147377014","0.27563539147377014","0.27563539147377014","0.2938764691352844","0.2938764691352844","0.2938764691352844"
"1","0.28760185837745667","0.28760185837745667","0.28760185837745667","0.25493186712265015","0.25493186712265015","0.25493186712265015"
"2","0.28368058800697327","0.28368058800697327","0.28368058800697327","0.3170708119869232","0.3170708119869232","0.3170708119869232"
"3","0.2703738808631897","0.2703738808631897","0.2703738808631897","0.26512613892555237","0.26512613892555237","0.26512613892555237"
"4","0.30377504229545593","0.30377504229545593","0.30377504229545593","0.354013055562973","0.354013055562973","0.354013055562973"
"5","0.22426100075244904","0.22426100075244904","0.22426100075244904","0.27250322699546814","0.27250322699546814","0.27250322699546814"
"6","0.22737672924995422","0.22737672924995422","0.22737672924995422","0.3016420006752014","0.3016420006752014","0.3016420006752014"
"7","0.24999438226222992","0.24999438226222992","0.24999438226222992","0.297769695520401","0.297769695520401","0.297769695520401"
"8","0.3292783796787262","0.3292783796787262","0.3292783796787262","0.24662689864635468","0.24662689864635468","0.24662689864635468"
"9","0.33325812220573425","0.33325812220573425","0.33325812220573425","0.3262214958667755","0.3262214958667755","0.3262214958667755"
"10","0.3140965402126312","0.3140965402126312","0.3140965402126312","0.33600854873657227","0.33600854873657227","0.33600854873657227"
"11","0.3457130789756775","0.3457130789756775","0.3457130789756775","0.25520437955856323","0.25520437955856323","0.25520437955856323"
"12","0.3400779366493225","0.3400779366493225","0.3400779366493225","0.37663376331329346","0.37663376331329346","0.37663376331329346"
"13","0.30699658393859863","0.30699658393859863","0.30699658393859863","0.2799442708492279","0.2799442708492279","0.2799442708492279"
"14","0.3348134160041809","0.3348134160041809","0.3348134160041809","0.34170275926589966","0.34170275926589966","0.34170275926589966"
"15","0.29058322310447693","0.29058322310447693","0.29058322310447693","0.28147828578948975","0.28147828578948975","0.28147828578948975"
"16","0.3219745457172394","0.3219745457172394","0.3219745457172394","0.3394855856895447","0.3394855856895447","0.3394855856895447"
"17","0.3326342701911926","0.3326342701911926","0.3326342701911926","0.3089858889579773","0.3089858889579773","0.3089858889579773"
"18","0.2933625280857086","0.2933625280857086","0.2933625280857086","0.3350393772125244","0.3350393772125244","0.3350393772125244"
"19","0.3171696662902832","0.3171696662902832","0.3171696662902832","0.24087852239608765","0.24087852239608765","0.24087852239608765"
"20","0.2977336347103119","0.2977336347103119","0.2977336347103119","0.36364564299583435","0.36364564299583435","0.36364564299583435"
"21","0.36575552821159363","0.36575552821159363","0.36575552821159363","0.28267934918403625","0.28267934918403625","0.28267934918403625"
"22","0.334195077419281","0.334195077419281","0.334195077419281","0.2831088602542877","0.2831088602542877","0.2831088602542877"
"23","0.31411853432655334","0.31411853432655334","0.31411853432655334","0.25091442465782166","0.25091442465782166","0.25091442465782166"
"24","0.3148308992385864","0.3148308992385864","0.3148308992385864","0.2732636034488678","0.2732636034488678","0.2732636034488678"
"25","0.23334543406963348","0.23334543406963348","0.23334543406963348","0.28875303268432617","0.28875303268432617","0.28875303268432617"
"26","0.3819533884525299","0.3819533884525299","0.3819533884525299","0.2065284252166748","0.2065284252166748","0.2065284252166748"
"27","0.31591713428497314","0.31591713428497314","0.31591713428497314","0.26799923181533813","0.26799923181533813","0.26799923181533813"
"28","0.3488951325416565","0.3488951325416565","0.3488951325416565","0.20611487329006195","0.20611487329006195","0.20611487329006195"
"29","0.29525426030158997","0.29525426030158997","0.29525426030158997","0.32040396332740784","0.32040396332740784","0.32040396332740784"
"30","0.32731854915618896","0.32731854915618896","0.32731854915618896","0.3097836375236511","0.3097836375236511","0.3097836375236511"
"31","0.3091948330402374","0.3091948330402374","0.3091948330402374","0.3182075321674347","0.3182075321674347","0.3182075321674347"
"32","0.2962130308151245","0.2962130308151245","0.2962130308151245","0.2620484530925751","0.2620484530925751","0.2620484530925751"
"33","0.31905707716941833","0.31905707716941833","0.31905707716941833","0.23629812896251678","0.23629812896251678","0.23629812896251678"
"34","0.31491735577583313","0.31491735577583313","0.31491735577583313","0.22015687823295593","0.22015687823295593","0.22015687823295593"
"35","0.344367653131485","0.344367653131485","0.344367653131485","0.24803520739078522","0.24803520739078522","0.24803520739078522"
"36","0.3695998191833496","0.3695998191833496","0.3695998191833496","0.2684507668018341","0.2684507668018341","0.2684507668018341"
"37","0.372315913438797","0.372315913438797","0.372315913438797","0.2580777108669281","0.2580777108669281","0.2580777108669281"
"38","0.375390887260437","0.375390887260437","0.375390887260437","0.22486881911754608","0.22486881911754608","0.22486881911754608"
"39","0.31660032272338867","0.31660032272338867","0.31660032272338867","0.23367172479629517","0.23367172479629517","0.23367172479629517"
"40","0.3346051275730133","0.3346051275730133","0.3346051275730133","0.2402891367673874","0.2402891367673874","0.2402891367673874"
"41","0.307607501745224","0.307607501745224","0.307607501745224","0.338756799697876","0.338756799697876","0.338756799697876"
"42","0.3558197617530823","0.3558197617530823","0.3558197617530823","0.278217613697052","0.278217613697052","0.278217613697052"
"43","0.348417192697525","0.348417192697525","0.348417192697525","0.2359580099582672","0.2359580099582672","0.2359580099582672"
"44","0.3854773938655853","0.3854773938655853","0.3854773938655853","0.30241742730140686","0.30241742730140686","0.30241742730140686"
"45","0.33438798785209656","0.33438798785209656","0.33438798785209656","0.2728607654571533","0.2728607654571533","0.2728607654571533"
"46","0.32492825388908386","0.32492825388908386","0.32492825388908386","0.3038177490234375","0.3038177490234375","0.3038177490234375"
"47","0.368757039308548","0.368757039308548","0.368757039308548","0.3269648849964142","0.3269648849964142","0.3269648849964142"
"48","0.3212859034538269","0.3212859034538269","0.3212859034538269","0.2748227119445801","0.2748227119445801","0.2748227119445801"
